,Ticker,Mean,std,minChange,PI,ticker
0,FBL,1.401584410466547,1.143482497024233,0.0,,
0,FBMS,1.9044674963649477,2.0971616512432405,0.03873055383436519,,
0,FBNC,2.1625233700499007,2.4709540732790765,0.0,,
0,GRCY,0.05870868994579036,0.17016973753389153,0.0,,
0,GRCYU,0.0,0.0,0.0,,
0,GREE,2.735127607867533,3.1223962680649278,0.0,,
0,GREEL,1.6968308434118007,2.7320119683989903,0.0,,
0,GRFS,2.35358174112282,1.8144302759314004,0.0,,
0,GRID,0.7951002993833415,0.6832184304360489,0.0,,
0,GRIL,3.663971448380977,3.017184739285525,0.0,,
0,GRIN,2.8799670235584793,1.8130587499021174,0.0,,
0,GRNA,9.455414632895055,10.052377488953445,0.0,,
0,GRNQ,4.79949817199168,3.3763199794387044,0.0,,
0,GRNR,0.04523586378213056,0.16925710386750864,0.0,,
0,GROW,2.4831268256123615,2.0701213563292393,0.0,,
0,GRPH,2.0570967439441312,1.6409685808584857,0.0,,
0,GRPN,3.1804878253821833,4.985912881860688,0.0,,
0,GRTS,3.278447961977912,3.657379947737337,0.0,,
0,GRTX,6.430898175651357,3.9527644310816767,2.1634652857951187,,
0,GSBC,1.577014425127018,1.5049329185117832,0.0,,
0,GSD,0.3539001529552618,0.2927972134297556,0.0,,
0,GSDWU,0.0,0.0,0.0,,
0,CAPR,2.434174195684342,1.8046638807413038,0.0,,
0,AADI,2.3054705528487793,2.3578401467811823,0.0,,
0,BLMN,1.4223003808196997,1.7073295880951207,0.0,,
0,ARKR,0.8337043351449483,0.943187136708215,0.0,,
0,FCNCA,3.5995130207424135,2.7903751703474473,0.6322847964724154,,
0,FCNCO,2.0498865307883,2.3327739542871524,0.0,,
0,GSHD,1.9392442488446453,1.065575274660726,0.5366017203129569,,
0,GSIT,4.372908169897303,8.52749353921555,0.0,,
0,TDSB,0.04934098121619173,0.0691265700935767,0.0,,
0,TDSC,0.08396203124913912,0.05889723149649936,0.0,,
0,TDSD,0.018751324948080534,0.022061613716227082,0.0,,
0,TDSE,0.05688034285076249,0.0341441925185747,0.0,,
0,AKYA,2.819851169947038,2.0583747635249066,0.0,,
0,AMRS,5.775219094593541,9.31634864154326,0.7194237817389482,,
0,FCNCP,2.373363409294,2.371560008545675,0.0,,
0,BLLD,0.0,0.0,0.0,,
0,TDUP,5.450774112005086,5.367873603278778,0.0,,
0,GSM,2.5777168318441457,2.1949140053857397,0.0,,
0,GSMG,2.6189213950193255,2.811111118735387,0.0,,
0,TEAM,1.802425590722179,1.671377559041861,0.07190052055816576,,
0,TECH,0.9476890782159473,0.6112512777230183,0.040798014136944616,,
0,FDT,0.7497741234003392,0.4474472603576608,0.08286910119743585,,
0,FDTS,0.18878518945861314,0.2728962107206929,0.0,,
0,GSRM,0.9265314035344806,1.6964418536707544,0.0,,
0,GSRMR,4.128629596727159,8.178583487430155,0.0,,
0,GSRMU,0.0,0.0,0.0,,
0,TECTP,1.3660622930214223,2.3007116933155767,0.0,,
0,TEDU,3.4891694686799504,5.278109900998256,0.0,,
0,TELA,3.946317258582972,2.269334810445444,0.0,,
0,AMRN,2.330270228900814,2.724502330915379,0.0,,
0,GSUN,3.5241137539489142,3.5832781494830495,0.0,,
0,GT,1.6762396659562,0.9780303205815299,0.28089636810828544,,
0,GTAC,0.09547301384736283,0.30405847784398143,0.0,,
0,GTACU,0.006802876790365112,0.025454034193982625,0.0,,
0,GTEC,4.254821834135599,2.796498881503194,0.0,,
